City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
428,Sorland,67.667,12.6934,30.2,74,20,5.75,NO,2021-02-04 20:42:34
429,Campbellton,48.0075,-66.6727,30.2,86,100,3.44,CA,2021-02-04 20:42:08
430,Rafai,4.95,23.9167,77.4,54,71,3.18,CF,2021-02-04 20:42:34
431,Deputatskiy,69.3,139.9,-21.1,88,83,4.29,RU,2021-02-04 20:42:34
432,Baiyin,36.5583,104.2081,28.99,52,0,6.71,CN,2021-02-04 20:42:34
433,Mae Chan,20.1467,99.8526,62.6,100,0,2.3,TH,2021-02-04 20:42:34
434,Dongsheng,39.8161,109.9776,25.14,80,0,20.67,CN,2021-02-04 20:42:34
435,Mikkeli,61.6886,27.2723,5.0,78,1,2.3,FI,2021-02-04 20:42:35
436,Broken Hill,-31.95,141.4333,62.6,59,75,17.27,AU,2021-02-04 20:41:56
437,Kandrian,-6.2167,149.55,77.94,87,100,8.12,PG,2021-02-04 20:42:35
438,Udimskiy,61.1417,45.9144,15.94,97,98,7.81,RU,2021-02-04 20:42:35
439,Nipawin,53.3668,-104.0009,3.2,66,1,10.36,CA,2021-02-04 20:42:35
440,Kawalu,-7.3817,108.2082,71.91,89,100,3.51,ID,2021-02-04 20:42:35
441,Bokoro,12.3807,17.0568,74.64,19,0,13.71,TD,2021-02-04 20:42:35
442,Awang,7.1531,124.2211,73.51,87,54,5.1,PH,2021-02-04 20:42:35
443,Bulawayo,-20.15,28.5833,67.41,87,68,2.39,ZW,2021-02-04 20:42:35
444,Cabedelo,-6.9811,-34.8339,84.2,65,0,11.5,BR,2021-02-04 20:42:35
445,Mabai,23.0128,104.4508,52.3,98,95,3.74,CN,2021-02-04 20:42:35
446,Havre-Saint-Pierre,50.2334,-63.5986,33.8,100,90,5.75,CA,2021-02-04 20:41:59
447,Marovoay,-16.1,46.6333,75.2,94,40,6.91,MG,2021-02-04 20:42:36
448,Kununurra,-15.7667,128.7333,78.8,100,100,8.68,AU,2021-02-04 20:42:36
449,Taketoyo,34.85,136.9167,41.0,70,75,9.22,JP,2021-02-04 20:42:21
450,Gravelbourg,49.8834,-106.5512,1.4,66,89,17.27,CA,2021-02-04 20:42:10
451,Lambarene,-0.7001,10.2406,78.39,86,100,0.72,GA,2021-02-04 20:42:36
452,La Tuque,47.4334,-72.7824,35.6,48,23,10.36,CA,2021-02-04 20:42:36
453,Port-Gentil,-0.7193,8.7815,80.6,89,90,8.05,GA,2021-02-04 20:42:36
454,Ilhabela,-23.7781,-45.3581,82.96,71,8,7.36,BR,2021-02-04 20:38:24
455,Nova Prata,-28.7839,-51.61,73.0,52,28,5.99,BR,2021-02-04 20:42:36
456,Chapais,49.7834,-74.8492,32.0,55,1,4.61,CA,2021-02-04 20:41:54
457,Abaza,52.655,90.0928,18.43,93,100,3.13,RU,2021-02-04 20:42:37
458,Thinadhoo,0.5333,72.9333,81.73,77,86,11.05,MV,2021-02-04 20:42:37
459,Sao Domingos,-13.3983,-46.3183,78.94,73,74,3.09,BR,2021-02-04 20:42:37
460,Kjopsvik,68.097,16.3742,24.01,92,75,5.57,NO,2021-02-04 20:38:19
461,Mitsamiouli,-11.3847,43.2844,83.28,67,8,4.41,KM,2021-02-04 20:42:37
462,Marang,5.2056,103.2059,75.2,88,40,3.44,MY,2021-02-04 20:42:37
463,Kuah,6.3265,99.8432,80.6,65,20,4.61,MY,2021-02-04 20:42:02
464,Jiazi,22.8779,116.067,58.53,87,3,13.98,CN,2021-02-04 20:42:37
465,Qinhuangdao,39.9317,119.5883,30.09,80,0,7.29,CN,2021-02-04 20:42:37
466,Lichtenfels,50.1457,11.0593,36.0,93,100,1.88,DE,2021-02-04 20:42:37
467,Mazatlan,23.2167,-106.4167,78.8,57,20,5.75,MX,2021-02-04 20:42:20
